source	line	kind	text	feature_id	destination	disposition
first-generation-pack/.agent/EXECUTION_RULES.md	1	heading	Coding Agent Execution Rules	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/EXECUTION_RULES.md	3	heading	One Active ExecPlan Rule	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/EXECUTION_RULES.md	7	heading	No Hidden Context Rule	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/EXECUTION_RULES.md	11	heading	No Roadmap-Only Implementation Rule	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/EXECUTION_RULES.md	15	heading	Continue-by-Default Rule	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/EXECUTION_RULES.md	19	heading	STOP-Only Rule	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/EXECUTION_RULES.md	23	heading	Anti-Drift Rule	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/EXECUTION_RULES.md	27	heading	Anti-Hallucination Rule	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/EXECUTION_RULES.md	31	heading	Anti-Fixation Rule	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/EXECUTION_RULES.md	35	heading	Test-Before-Completion Rule	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/EXECUTION_RULES.md	39	heading	Diff Review Rule	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/EXECUTION_RULES.md	43	heading	Final Response Rule	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	1	heading	ExecPlan Standard	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	5	heading	Required Sections	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	9	numbered-requirement	Purpose / Big Picture	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	10	numbered-requirement	Scope	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	11	numbered-requirement	Non-goals	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	12	numbered-requirement	Context and Orientation	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	13	numbered-requirement	Files to Read First	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	14	numbered-requirement	Files to Change	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	15	numbered-requirement	Interfaces and Contracts	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	16	numbered-requirement	Milestones	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	17	numbered-requirement	Concrete Steps	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	18	numbered-requirement	Validation and Acceptance	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
