term_id	canonical_term	definition_owner	status	change_rule
WM-TERM-0001	abuse boundary	SPEC-022	locked	ADR plus schema feature trace and ledger update
WM-TERM-0002	accessibility spoken mode	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0003	accessibility tree	SPEC-007	locked	ADR plus schema feature trace and ledger update
WM-TERM-0004	Action Proposal	SPEC-009	locked	ADR plus schema feature trace and ledger update
WM-TERM-0005	active-session update deferral	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0006	Agent Council	SPEC-014	locked	ADR plus schema feature trace and ledger update
WM-TERM-0007	Agent Memory Permission	SPEC-014	locked	ADR plus schema feature trace and ledger update
WM-TERM-0008	Agent Skill Tree	SPEC-014	locked	ADR plus schema feature trace and ledger update
WM-TERM-0009	AI cancellation and provider fallback	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0010	AI Companion profile	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0011	AI Confidence Meter	SPEC-014	locked	ADR plus schema feature trace and ledger update
WM-TERM-0012	AI context disclosure	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0013	AI Debugger	SPEC-019	locked	ADR plus schema feature trace and ledger update
WM-TERM-0014	AI Provider Router	SPEC-013	locked	ADR plus schema feature trace and ledger update
WM-TERM-0015	AI `Why?` explanations	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0016	aliases	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0017	ANSI/xterm/truecolor	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0018	ANSI/xterm/truecolor support path	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0019	Append-only ledger, lease, scheduler, green tags, and bounded retries	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0020	argument validation and deny allow rules	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0021	Ask WireMudder AI	SPEC-018	locked	ADR plus schema feature trace and ledger update
WM-TERM-0022	Ask WireMudder AI handoff	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0023	asset provenance	SPEC-016	locked	ADR plus schema feature trace and ledger update
WM-TERM-0024	audit event	SPEC-023	locked	ADR plus schema feature trace and ledger update
WM-TERM-0025	audit of sensitive default changes	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0026	audit of suggestion command pacing approval and send result	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0027	backpressure	SPEC-004	locked	ADR plus schema feature trace and ledger update
WM-TERM-0028	backup	SPEC-011	locked	ADR plus schema feature trace and ledger update
WM-TERM-0029	backup restore rollback and incident runbooks	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0030	barge-in	SPEC-015	locked	ADR plus schema feature trace and ledger update
WM-TERM-0031	barge-in/cancel	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0032	batched IPC/UI updates	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0033	behavioral oracle	SPEC-027	locked	ADR plus schema feature trace and ledger update
WM-TERM-0034	behavioral parity	SPEC-005	locked	ADR plus schema feature trace and ledger update
WM-TERM-0035	bounded autonomous patch planning and validation	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0036	bounded event bus	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0037	bounded queue	SPEC-004	locked	ADR plus schema feature trace and ledger update
