id	status	profile	category	title	description	source	spec	node	test_path	proof
WM-FEAT-0001	required	full	Classic Client	terminal pane	Provide terminal pane under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-007	EP-012	tests/wiremudder/ep012/feature-0001	LF-012
WM-FEAT-0002	required	full	Classic Client	ANSI/xterm/truecolor support path	Provide ANSI/xterm/truecolor support path under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-005	EP-009	tests/wiremudder/ep009/feature-0002	LF-009
WM-FEAT-0003	required	full	Classic Client	scrollback	Provide scrollback under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-007	EP-012	tests/wiremudder/ep012/feature-0003	LF-012
WM-FEAT-0004	required	full	Classic Client	command history	Provide command history under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-007	EP-012	tests/wiremudder/ep012/feature-0004	LF-012
WM-FEAT-0005	required	full	Classic Client	aliases	Provide aliases under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-005	EP-009	tests/wiremudder/ep009/feature-0005	LF-009
WM-FEAT-0006	required	full	Classic Client	triggers	Provide triggers under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-005	EP-009	tests/wiremudder/ep009/feature-0006	LF-009
WM-FEAT-0007	required	full	Classic Client	timers	Provide timers under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-005	EP-009	tests/wiremudder/ep009/feature-0007	LF-009
WM-FEAT-0008	required	full	Classic Client	macros/hotkeys	Provide macros/hotkeys under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-005	EP-009	tests/wiremudder/ep009/feature-0008	LF-009
WM-FEAT-0009	required	full	Classic Client	speed-walking	Provide speed-walking under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-005	EP-009	tests/wiremudder/ep009/feature-0009	LF-009
WM-FEAT-0010	required	full	Classic Client	speedwalk throttling	Provide speedwalk throttling under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-005	EP-009	tests/wiremudder/ep009/feature-0010	LF-009
WM-FEAT-0011	required	full	Classic Client	capture/output panes	Provide capture/output panes under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-007	EP-012	tests/wiremudder/ep012/feature-0011	LF-012
WM-FEAT-0012	required	full	Classic Client	status bars/gauges	Provide status bars/gauges under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-007	EP-012	tests/wiremudder/ep012/feature-0012	LF-012
WM-FEAT-0013	required	full	Classic Client	variables/state tables	Provide variables/state tables under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-005	EP-009	tests/wiremudder/ep009/feature-0013	LF-009
WM-FEAT-0014	required	full	Classic Client	trigger wizard	Provide trigger wizard under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-005	EP-009	tests/wiremudder/ep009/feature-0014	LF-009
WM-FEAT-0015	required	full	Classic Client	command input triggers	Provide command input triggers under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-005	EP-009	tests/wiremudder/ep009/feature-0015	LF-009
