source	sha256	disposition	authoritative_destination
first-generation-pack/.agent/EXECUTION_RULES.md	6c0f5a61bc56cf67400e424d287cfcb7d5795dba0de3748e5528c95d68fb87e0	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/PLANS.md	c2c398cea927be8eb32758a4515a6d637634243f15cfbecfbbf528cbb8fbf8bb	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/checklists/agent-readiness.md	e0d18e0b73b1ec7ae3ead30fbc5b8c29bdf5d5611999aef934a322c47a0d7773	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/checklists/final-review.md	5a461cdf8ac2245061a38904fca27a24f5f55376767bac198a503c6c76b1f622	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/checklists/implementation.md	f5c354825c85256ade3b2002432801002466dff1cb9e3b17f57c2a32685bcc11	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/checklists/incident-response.md	9ce84c0877c83964575d6a3acc1682e2eeac189fdf32b3cfc4c58294cd716ee3	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/checklists/preflight.md	35153ef63ea203d4cd57908f0234ab6779863676f338ccca492dd9457292cdd0	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/checklists/production-readiness.md	02a0557bb90757dac218adc10375369e405f7f64e73297be571114c404905013	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/checklists/release.md	401dc2980fe1a77578b4e70946564ba6016e00b7487adbdcf7d2d407c1d6d341	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/checklists/rollback.md	a389a9febb28ec5bca40b9b2f1d8d70bc31938b8c91c250dcb91d13c31e07cb1	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/checklists/validation.md	1ef6f9c7b4dda3f8659d62809ce663d764e81c65bc7d713eef8bb19cc79f2a4c	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/execplans/EP-000-repository-discovery.md	15e35d50b1768db2ccdb4835d62ae38a308b28ec07ad71024825d9a1d79980e3	superseded-by-graphlock-execplans	.agent/execplans/EP-000 through EP-039
first-generation-pack/.agent/execplans/EP-001-foundation.md	8d20680401154cc8ee78f4640c7c44e2d32e9d7f6c2412068afa6e173b70f9c8	superseded-by-graphlock-execplans	.agent/execplans/EP-000 through EP-039
first-generation-pack/.agent/execplans/EP-002-core-domain.md	fbc4b40629f8f72731a912c4d30d03b6c7fff7f865e24e2ec92f913a3d237bad	superseded-by-graphlock-execplans	.agent/execplans/EP-000 through EP-039
first-generation-pack/.agent/execplans/EP-003-data-and-persistence.md	ff6604bf4428789d91b7f81143af564dc899cf3d2cf071f4c3bb45e5a81b1e54	superseded-by-graphlock-execplans	.agent/execplans/EP-000 through EP-039
first-generation-pack/.agent/execplans/EP-004-api-or-service-layer.md	61f75948076a100b917efe588da8e3081687a0e08bfc3f5b19f6dca62f256cb0	superseded-by-graphlock-execplans	.agent/execplans/EP-000 through EP-039
first-generation-pack/.agent/execplans/EP-005-user-interface-or-client.md	bf6d79c5e588498c04694de1777a7c103aeffcdd5faf029b4f8ee2703604c3a9	superseded-by-graphlock-execplans	.agent/execplans/EP-000 through EP-039
first-generation-pack/.agent/execplans/EP-006-auth-security-and-permissions.md	be62c0c3c108dc947fe90f7f0bac725e1e8572525bb248f1661a6bdbdb63858c	superseded-by-graphlock-execplans	.agent/execplans/EP-000 through EP-039
first-generation-pack/.agent/execplans/EP-007-testing-hardening.md	e94b46a59c997d232ca5a068bd38674c34b516984bf44aa4b29d3ab0267ac738	superseded-by-graphlock-execplans	.agent/execplans/EP-000 through EP-039
first-generation-pack/.agent/execplans/EP-008-observability-and-operations.md	d4f555346ff119055b7ef94b430e44af345281033d08599d559b9ab2e514da89	superseded-by-graphlock-execplans	.agent/execplans/EP-000 through EP-039
first-generation-pack/.agent/execplans/EP-009-deployment-and-release.md	989ee3675681e593eca068b74fc434fc068f423cd2edf49b3eeffbdea056782c	superseded-by-graphlock-execplans	.agent/execplans/EP-000 through EP-039
first-generation-pack/.agent/execplans/EP-010-production-readiness.md	b4d4f9ddbf48de8925815f9cfba21ea71cf9fc905096549ba6bc199f98633fa4	superseded-by-graphlock-execplans	.agent/execplans/EP-000 through EP-039
first-generation-pack/.agent/prompts/continue-execplan.md	4b80c04e7cefba0e4b6abc649cf6e11f5ac55b56f7b46e1c2c2a98a068c860be	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/prompts/debug-validation-failure.md	bd3d0b3fcd8f078da1e44bc83e71b51ae7db6450c0d5b2af32971f13c4bda191	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/prompts/execute-active-execplan.md	29aa766611f5f3e3e059d16693266f57e05069666f33066161ed44b163de6f25	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/prompts/final-review.md	2ee7e3cbacf6f1544bf1c9ed13bab2ea5b1565ff79f3ed3ff1b45864c569e3d8	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/specs/SPEC-000-product-scope.md	2933de1f096ce0eb904c0ab1767b875ee31c2160a308fabdb5ac114a2f09d265	reconciled-into-accepted-specifications	.agent/specs/SPEC-000 through SPEC-028
first-generation-pack/.agent/specs/SPEC-001-core-domain.md	760d3130b1d8dacb1e491609b837de5411e9849da0f810020e0ace851ad6e3cf	reconciled-into-accepted-specifications	.agent/specs/SPEC-000 through SPEC-028
first-generation-pack/.agent/specs/SPEC-002-data-model.md	7905a1f166ec8f48c2395037cfbbb73aaf8b88e7f8f4c1fffc6643bfcf002384	reconciled-into-accepted-specifications	.agent/specs/SPEC-000 through SPEC-028
first-generation-pack/.agent/specs/SPEC-003-api-contracts.md	2930d52bdd272f6a1eb38dc213f16218568e615c50271460beb288c4147bbdf7	reconciled-into-accepted-specifications	.agent/specs/SPEC-000 through SPEC-028
first-generation-pack/.agent/specs/SPEC-004-ui-ux-behavior.md	d6448286780a0920ae4936bbe078ea41811e52e27d0bf59694f5398fe58eec4c	reconciled-into-accepted-specifications	.agent/specs/SPEC-000 through SPEC-028
first-generation-pack/.agent/specs/SPEC-005-auth-and-permissions.md	f615226b9907a99af464507ba955a3c65e263c0d2b095b3a733f9048970dfea4	reconciled-into-accepted-specifications	.agent/specs/SPEC-000 through SPEC-028
first-generation-pack/.agent/specs/SPEC-006-error-handling.md	c80546c052560597ab423e1264dea41ab7611f887b5cb681b54c2149d7bf38fd	reconciled-into-accepted-specifications	.agent/specs/SPEC-000 through SPEC-028
first-generation-pack/.agent/specs/SPEC-007-observability.md	65592350099101667e489019ee7e98e0f9f620ee9623e425ed477855d3b2323b	reconciled-into-accepted-specifications	.agent/specs/SPEC-000 through SPEC-028
first-generation-pack/.agent/specs/SPEC-008-production-readiness.md	92286f9e1e2945692625929d7aeb54bc14891319e557b6de6e416e4cdc7ad002	reconciled-into-accepted-specifications	.agent/specs/SPEC-000 through SPEC-028
first-generation-pack/.agent/templates/adr-template.md	4f08a482f392c0eb52f5f5d1c853df010e1c3f2c9770cfcdc5ca7c440aad5c3a	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
first-generation-pack/.agent/templates/execplan-template.md	fd4d86df7418cf882eb7a17b0ec68e62ce1342dda1bbc93cdc07f52576b2878b	superseded-by-complete-graphlock-control-plane	.agent control graph and verification files
