source	source_index	section	title	normalized_title	feature_id	spec	node
library/FEATURE_CATALOG(1).md	1	Classic Client Features	terminal pane	terminal pane	WM-FEAT-0001	SPEC-007	EP-012
library/FEATURE_CATALOG(1).md	2	Classic Client Features	ANSI/xterm/truecolor support path	ansi xterm truecolor support path	WM-FEAT-0002	SPEC-005	EP-009
library/FEATURE_CATALOG(1).md	3	Classic Client Features	scrollback	scrollback	WM-FEAT-0003	SPEC-007	EP-012
library/FEATURE_CATALOG(1).md	4	Classic Client Features	command history	command history	WM-FEAT-0004	SPEC-007	EP-012
library/FEATURE_CATALOG(1).md	5	Classic Client Features	aliases	aliases	WM-FEAT-0005	SPEC-005	EP-009
library/FEATURE_CATALOG(1).md	6	Classic Client Features	triggers	triggers	WM-FEAT-0006	SPEC-005	EP-009
library/FEATURE_CATALOG(1).md	7	Classic Client Features	timers	timers	WM-FEAT-0007	SPEC-005	EP-009
library/FEATURE_CATALOG(1).md	8	Classic Client Features	macros/hotkeys	macros hotkeys	WM-FEAT-0008	SPEC-005	EP-009
library/FEATURE_CATALOG(1).md	9	Classic Client Features	speed-walking	speed walking	WM-FEAT-0009	SPEC-005	EP-009
library/FEATURE_CATALOG(1).md	10	Classic Client Features	speedwalk throttling	speedwalk throttling	WM-FEAT-0010	SPEC-005	EP-009
library/FEATURE_CATALOG(1).md	11	Classic Client Features	capture/output panes	capture output panes	WM-FEAT-0011	SPEC-007	EP-012
library/FEATURE_CATALOG(1).md	12	Classic Client Features	status bars/gauges	status bars gauges	WM-FEAT-0012	SPEC-007	EP-012
library/FEATURE_CATALOG(1).md	13	Classic Client Features	variables/state tables	variables state tables	WM-FEAT-0013	SPEC-005	EP-009
library/FEATURE_CATALOG(1).md	14	Classic Client Features	trigger wizard	trigger wizard	WM-FEAT-0014	SPEC-005	EP-009
library/FEATURE_CATALOG(1).md	15	Classic Client Features	command input triggers	command input triggers	WM-FEAT-0015	SPEC-005	EP-009
library/FEATURE_CATALOG(1).md	16	Classic Client Features	gag/highlight/substitute triggers	gag highlight substitute triggers	WM-FEAT-0016	SPEC-005	EP-009
library/FEATURE_CATALOG(1).md	17	Classic Client Features	multi-state triggers	multi state triggers	WM-FEAT-0017	SPEC-005	EP-009
library/FEATURE_CATALOG(1).md	18	Classic Client Features	spellcheck/autocorrect	spellcheck autocorrect	WM-FEAT-0018	SPEC-007	EP-012
library/FEATURE_CATALOG(1).md	19	Classic Client Features	tab/entity/command-template completion	tab entity command template completion	WM-FEAT-0019	SPEC-007	EP-012
library/FEATURE_CATALOG(1).md	20	Classic Client Features	logging/transcripts	logging transcripts	WM-FEAT-0020	SPEC-005	EP-009
library/FEATURE_CATALOG(1).md	21	Classic Client Features	layouts, panes, dashboards, themes	layouts panes dashboards themes	WM-FEAT-0021	SPEC-007	EP-012
library/FEATURE_CATALOG(1).md	22	Protocol Features	Telnet basics	telnet basics	WM-FEAT-0022	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	23	Protocol Features	TLS/telnets path	tls telnets path	WM-FEAT-0023	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	24	Protocol Features	ANSI/xterm/truecolor	ansi xterm truecolor	WM-FEAT-0024	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	25	Protocol Features	MCCP	mccp	WM-FEAT-0025	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	26	Protocol Features	GMCP	gmcp	WM-FEAT-0026	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	27	Protocol Features	MSDP	msdp	WM-FEAT-0027	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	28	Protocol Features	MSSP	mssp	WM-FEAT-0028	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	29	Protocol Features	MXP	mxp	WM-FEAT-0029	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	30	Protocol Features	MSP	msp	WM-FEAT-0030	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	31	Protocol Features	MCP/simpleedit path	mcp simpleedit path	WM-FEAT-0031	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	32	Protocol Features	NAWS	naws	WM-FEAT-0032	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	33	Protocol Features	CHARSET	charset	WM-FEAT-0033	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	34	Protocol Features	EOR	eor	WM-FEAT-0034	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	35	Protocol Features	Pueblo research	pueblo research	WM-FEAT-0035	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	36	Protocol Features	Simutronics/GSL research	simutronics gsl research	WM-FEAT-0036	SPEC-006	EP-011
library/FEATURE_CATALOG(1).md	37	AI and Memory Features	local and remote AI provider adapters	local and remote ai provider adapters	WM-FEAT-0037	SPEC-013	EP-016
library/FEATURE_CATALOG(1).md	38	AI and Memory Features	AI Provider Router	ai provider router	WM-FEAT-0038	SPEC-013	EP-016
library/FEATURE_CATALOG(1).md	39	AI and Memory Features	privacy modes	privacy modes	WM-FEAT-0039	SPEC-014	EP-017
library/FEATURE_CATALOG(1).md	40	AI and Memory Features	Player Copilot	player copilot	WM-FEAT-0040	SPEC-014	EP-017
library/FEATURE_CATALOG(1).md	41	AI and Memory Features	Guarded Autopilot	guarded autopilot	WM-FEAT-0041	SPEC-014	EP-019
library/FEATURE_CATALOG(1).md	42	AI and Memory Features	Soul.md personas	soul md personas	WM-FEAT-0042	SPEC-014	EP-018
library/FEATURE_CATALOG(1).md	43	AI and Memory Features	Soul.md Studio	soul md studio	WM-FEAT-0043	SPEC-014	EP-018
library/FEATURE_CATALOG(1).md	44	AI and Memory Features	Agent Skill Tree	agent skill tree	WM-FEAT-0044	SPEC-014	EP-018
library/FEATURE_CATALOG(1).md	45	AI and Memory Features	Agent Council	agent council	WM-FEAT-0045	SPEC-014	EP-018
library/FEATURE_CATALOG(1).md	46	AI and Memory Features	AI Confidence Meter	ai confidence meter	WM-FEAT-0046	SPEC-014	EP-017
library/FEATURE_CATALOG(1).md	47	AI and Memory Features	AI `Why?` explanations	ai why explanations	WM-FEAT-0047	SPEC-014	EP-017
library/FEATURE_CATALOG(1).md	48	AI and Memory Features	Context Distillation Engine	context distillation engine	WM-FEAT-0048	SPEC-013	EP-015
library/FEATURE_CATALOG(1).md	49	AI and Memory Features	Token Budget Dashboard	token budget dashboard	WM-FEAT-0049	SPEC-013	EP-015
library/FEATURE_CATALOG(1).md	50	AI and Memory Features	World Brain	world brain	WM-FEAT-0050	SPEC-012	EP-021
library/FEATURE_CATALOG(1).md	51	AI and Memory Features	World Bible	world bible	WM-FEAT-0051	SPEC-012	EP-021
library/FEATURE_CATALOG(1).md	52	AI and Memory Features	RAG memory	rag memory	WM-FEAT-0052	SPEC-012	EP-021
library/FEATURE_CATALOG(1).md	53	AI and Memory Features	Time Machine Memory	time machine memory	WM-FEAT-0053	SPEC-012	EP-021
library/FEATURE_CATALOG(1).md	54	AI and Memory Features	Quest Compass	quest compass	WM-FEAT-0054	SPEC-014	EP-020
library/FEATURE_CATALOG(1).md	55	AI and Memory Features	Tactical HUD	tactical hud	WM-FEAT-0055	SPEC-014	EP-020
library/FEATURE_CATALOG(1).md	56	AI and Memory Features	Personal Narrator	personal narrator	WM-FEAT-0056	SPEC-014	EP-020
library/FEATURE_CATALOG(1).md	57	Voice Features	real-time conversational Voice Companion	real time conversational voice companion	WM-FEAT-0057	SPEC-015	EP-024
library/FEATURE_CATALOG(1).md	58	Voice Features	push-to-talk and hold-to-talk	push to talk and hold to talk	WM-FEAT-0058	SPEC-015	EP-024
library/FEATURE_CATALOG(1).md	59	Voice Features	optional wake phrase after opt-in	optional wake phrase after opt in	WM-FEAT-0059	SPEC-015	EP-024
library/FEATURE_CATALOG(1).md	60	Voice Features	local-first STT/TTS	local first stt tts	WM-FEAT-0060	SPEC-015	EP-024
library/FEATURE_CATALOG(1).md	61	Voice Features	opt-in remote voice providers	opt in remote voice providers	WM-FEAT-0061	SPEC-015	EP-024
library/FEATURE_CATALOG(1).md	62	Voice Features	voice macros	voice macros	WM-FEAT-0062	SPEC-015	EP-024
library/FEATURE_CATALOG(1).md	63	Voice Features	spoken room/map/quest/combat/setup summaries	spoken room map quest combat setup summaries	WM-FEAT-0063	SPEC-015	EP-024
library/FEATURE_CATALOG(1).md	64	Voice Features	per-character voice profiles	per character voice profiles	WM-FEAT-0064	SPEC-015	EP-024
library/FEATURE_CATALOG(1).md	65	Voice Features	per-agent voice styles for copilot, mapper, quest, safety, narrator, renderer, and help agents	per agent voice styles for copilot mapper quest safety narrator renderer and help agents	WM-FEAT-0065	SPEC-015	EP-024
library/FEATURE_CATALOG(1).md	66	Voice Features	barge-in/cancel	barge in cancel	WM-FEAT-0066	SPEC-015	EP-024
